
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:12:30 2025
Timers Off: Fri Sep 19 23:12:31 2025

Wall Time:        0.78 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.001w      3 calls
DFH: initialize()                   :      0.000u      0.000s      0.002w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.000w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      0.517u      0.017s      0.084w      5 calls
UV: Form V                          :      0.517u      0.017s      0.082w      5 calls
Properties                          :      0.117u      0.017s      0.021w   1065 calls
Functional                          :      0.200u      0.000s      0.033w   1065 calls
V_xc                                :      0.200u      0.000s      0.027w   1065 calls
JK: D                               :      0.000u      0.000s      0.000w      5 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w      5 calls
JK: JK                              :      0.000u      0.000s      0.000w      5 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.000w      5 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      5 calls
DFH: compute_J                      :      0.000u      0.000s      0.000w      5 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      5 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w      5 calls
HF: Form F                          :      0.000u      0.000s      0.000w      5 calls
HF: DIIS                            :      1.583u      0.117s      0.204w      5 calls
HF: Form C                          :      0.017u      0.000s      0.001w      5 calls
HF: Form D                          :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.000u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.000u      0.000s      0.001w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
DFH: initialize()                   :      0.000u      0.000s      0.002w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.000w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.017u      0.000s      0.001w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      0.517u      0.017s      0.084w      5 calls
| UV: Form V                        :      0.517u      0.017s      0.082w      5 calls
| | Properties                      :      0.117u      0.017s      0.021w   1065 calls
| | Functional                      :      0.200u      0.000s      0.033w   1065 calls
| | V_xc                            :      0.200u      0.000s      0.027w   1065 calls
| JK: D                             :      0.000u      0.000s      0.000w      5 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w      5 calls
| JK: JK                            :      0.000u      0.000s      0.000w      5 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.000w      5 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      5 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.000w      5 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      5 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w      5 calls
HF: Form F                          :      0.000u      0.000s      0.000w      5 calls
HF: DIIS                            :      1.583u      0.117s      0.204w      5 calls
HF: Form C                          :      0.017u      0.000s      0.001w      5 calls
HF: Form D                          :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************
