
Host: unknowne27c6b167948.lan

Timers On : Fri Sep 19 23:13:41 2025
Timers Off: Fri Sep 19 23:13:42 2025

Wall Time:        1.07 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
build grid                          :      0.000u      0.000s      0.001w      1 calls
post-process grid                   :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.004w      3 calls
DFH: initialize()                   :      0.700u      0.017s      0.049w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.002w      1 calls
DFH: AO-Met. Contraction            :      0.650u      0.017s      0.041w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.500u      0.050s      0.312w      8 calls
UV: Form V                          :      5.283u      0.050s      0.301w      8 calls
Properties                          :      2.483u      0.033s      0.110w   1776 calls
Functional                          :      1.000u      0.000s      0.068w   1776 calls
V_xc                                :      1.700u      0.000s      0.118w   1776 calls
JK: D                               :      0.000u      0.000s      0.000w      8 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w      8 calls
JK: JK                              :      0.167u      0.000s      0.008w      8 calls
DFH: compute_JK()                   :      0.167u      0.000s      0.008w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.083u      0.000s      0.002w      8 calls
DFH: compute_K                      :      0.083u      0.000s      0.005w      8 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.250u      2.917s      0.231w      8 calls
HF: Form C                          :      0.017u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

--------------------------------------------------------------------------------------
V: Grid                             :      0.017u      0.000s      0.003w      1 calls
| build grid                        :      0.000u      0.000s      0.001w      1 calls
| post-process grid                 :      0.017u      0.000s      0.002w      1 calls
DFH: sparsity prep                  :      0.000u      0.000s      0.004w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w      1 calls
DFH: initialize()                   :      0.700u      0.017s      0.049w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.002w      2 calls
| DFH: AO Construction              :      0.000u      0.000s      0.002w      1 calls
| DFH: AO-Met. Contraction          :      0.650u      0.017s      0.041w      1 calls
HF: Form core H                     :      0.050u      0.000s      0.002w      1 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      1 calls
HF: Guess                           :      0.000u      0.000s      0.000w      1 calls
HF: Form G                          :      5.500u      0.050s      0.312w      8 calls
| UV: Form V                        :      5.283u      0.050s      0.301w      8 calls
| | Properties                      :      2.483u      0.033s      0.110w   1776 calls
| | Functional                      :      1.000u      0.000s      0.068w   1776 calls
| | V_xc                            :      1.700u      0.000s      0.118w   1776 calls
| JK: D                             :      0.000u      0.000s      0.000w      8 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w      8 calls
| JK: JK                            :      0.167u      0.000s      0.008w      8 calls
| | DFH: compute_JK()               :      0.167u      0.000s      0.008w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.083u      0.000s      0.002w      8 calls
| | | DFH: compute_K                :      0.083u      0.000s      0.005w      8 calls
| JK: AO2USO                        :      0.017u      0.000s      0.001w      8 calls
HF: Form F                          :      0.000u      0.000s      0.000w      8 calls
HF: DIIS                            :      1.250u      2.917s      0.231w      8 calls
HF: Form C                          :      0.017u      0.000s      0.002w      8 calls
HF: Form D                          :      0.000u      0.000s      0.000w      8 calls

**************************************************************************************
